sample	dirname
its.mock.none.t5.0	ITS_needle
its.needle.25NO.t1.13A	ITS_needle
its.needle.25NO.t1.1A	ITS_needle
its.needle.25NO.t1.7A	ITS_needle
its.needle.25NO.t2.13A	ITS_needle
its.needle.25NO.t2.1A	ITS_needle
its.needle.25NO.t2.7A	ITS_needle
its.needle.25NO.t3.13A	ITS_needle
its.needle.25NO.t3.1A	ITS_needle
its.needle.25NO.t3.7A	ITS_needle
its.needle.25NO.t4.13A	ITS_needle
its.needle.25NO.t4.1A	ITS_needle
its.needle.25NO.t4.7A	ITS_needle
its.needle.5NO.t1.12B	ITS_needle
its.needle.5NO.t1.16B	ITS_needle
its.needle.5NO.t1.3B	ITS_needle
its.needle.5NO.t2.12B	ITS_needle
its.needle.5NO.t2.16B	ITS_needle
its.needle.5NO.t2.3B	ITS_needle
its.needle.5NO.t3.12B	ITS_needle
its.needle.5NO.t3.16B	ITS_needle
its.needle.5NO.t3.3B	ITS_needle
its.needle.5NO.t4.12B	ITS_needle
its.needle.5NO.t4.16B	ITS_needle
its.needle.5NO.t4.3B	ITS_needle
its.needle.ctrl.t1.14A	ITS_needle
its.needle.ctrl.t1.4A	ITS_needle
its.needle.ctrl.t1.6A	ITS_needle
its.needle.ctrl.t2.14A	ITS_needle
its.needle.ctrl.t2.4A	ITS_needle
its.needle.ctrl.t2.6A	ITS_needle
its.needle.ctrl.t3.14A	ITS_needle
its.needle.ctrl.t3.4A	ITS_needle
its.needle.ctrl.t3.6A	ITS_needle
its.needle.ctrl.t4.14A	ITS_needle
its.needle.ctrl.t4.4A	ITS_needle
its.needle.ctrl.t4.6A	ITS_needle
its.mock.none.t5.0	ITS_root
its.root.25NO.t1.13A	ITS_root
its.root.25NO.t1.1A	ITS_root
its.root.25NO.t1.7A	ITS_root
its.root.25NO.t2.13A	ITS_root
its.root.25NO.t2.1A	ITS_root
its.root.25NO.t2.7A	ITS_root
its.root.25NO.t3.13A	ITS_root
its.root.25NO.t3.1A	ITS_root
its.root.25NO.t3.7A	ITS_root
its.root.25NO.t4.13A	ITS_root
its.root.25NO.t4.1A	ITS_root
its.root.25NO.t4.7A	ITS_root
its.root.5NO.t1.12B	ITS_root
its.root.5NO.t1.16B	ITS_root
its.root.5NO.t1.3B	ITS_root
its.root.5NO.t2.12B	ITS_root
its.root.5NO.t2.16B	ITS_root
its.root.5NO.t2.3B	ITS_root
its.root.5NO.t3.12B	ITS_root
its.root.5NO.t3.16B	ITS_root
its.root.5NO.t3.3B	ITS_root
its.root.5NO.t4.12B	ITS_root
its.root.5NO.t4.16B	ITS_root
its.root.5NO.t4.3B	ITS_root
its.root.ctrl.t1.14A	ITS_root
its.root.ctrl.t1.4A	ITS_root
its.root.ctrl.t1.6A	ITS_root
its.root.ctrl.t2.14A	ITS_root
its.root.ctrl.t2.4A	ITS_root
its.root.ctrl.t2.6A	ITS_root
its.root.ctrl.t3.14A	ITS_root
its.root.ctrl.t3.4A	ITS_root
its.root.ctrl.t3.6A	ITS_root
its.root.ctrl.t4.14A	ITS_root
its.root.ctrl.t4.4A	ITS_root
its.root.ctrl.t4.6A	ITS_root
