"X.SampleID","SampleType","SoilPlot","Date","Timepoint","Treatment","Description"
"needle.ctrl.t1.4A","needle","4A","5th.June","t1","ctrl","needle.ctrl.t1.4A - 5th.June"
"needle.ctrl.t2.4A","needle","4A","24th.June","t2","ctrl","needle.ctrl.t2.4A - 24th.June"
"needle.ctrl.t3.4A","needle","4A","6th.August","t3","ctrl","needle.ctrl.t3.4A - 6th.August"
"needle.ctrl.t4.4A","needle","4A","9th.October","t4","ctrl","needle.ctrl.t4.4A - 9th.October"
"needle.25NO.t1.1A","needle","1A","5th.June","t1","25NO","needle.25NO.t1.1A - 5th.June"
"needle.25NO.t2.1A","needle","1A","24th.June","t2","25NO","needle.25NO.t2.1A - 24th.June"
"needle.25NO.t3.1A","needle","1A","6th.August","t3","25NO","needle.25NO.t3.1A - 6th.August"
"needle.25NO.t4.1A","needle","1A","9th.October","t4","25NO","needle.25NO.t4.1A - 9th.October"
"needle.ctrl.t1.6A","needle","6A","5th.June","t1","ctrl","needle.ctrl.t1.6A - 5th.June"
"needle.ctrl.t2.6A","needle","6A","24th.June","t2","ctrl","needle.ctrl.t2.6A - 24th.June"
"needle.ctrl.t3.6A","needle","6A","6th.August","t3","ctrl","needle.ctrl.t3.6A - 6th.August"
"needle.ctrl.t4.6A","needle","6A","9th.October","t4","ctrl","needle.ctrl.t4.6A - 9th.October"
"needle.5NO.t1.3B","needle","3B","5th.June","t1","5NO","needle.5NO.t1.3B - 5th.June"
"needle.5NO.t2.3B","needle","3B","24th.June","t2","5NO","needle.5NO.t2.3B - 24th.June"
"needle.5NO.t3.3B","needle","3B","6th.August","t3","5NO","needle.5NO.t3.3B - 6th.August"
"needle.5NO.t4.3B","needle","3B","9th.October","t4","5NO","needle.5NO.t4.3B - 9th.October"
"needle.ctrl.t1.14A","needle","14A","5th.June","t1","ctrl","needle.ctrl.t1.14A - 5th.June"
"needle.ctrl.t2.14A","needle","14A","24th.June","t2","ctrl","needle.ctrl.t2.14A - 24th.June"
"needle.ctrl.t3.14A","needle","14A","6th.August","t3","ctrl","needle.ctrl.t3.14A - 6th.August"
"needle.ctrl.t4.14A","needle","14A","9th.October","t4","ctrl","needle.ctrl.t4.14A - 9th.October"
"needle.25NO.t1.7A","needle","7A","5th.June","t1","25NO","needle.25NO.t1.7A - 5th.June"
"needle.25NO.t2.7A","needle","7A","24th.June","t2","25NO","needle.25NO.t2.7A - 24th.June"
"needle.25NO.t3.7A","needle","7A","6th.August","t3","25NO","needle.25NO.t3.7A - 6th.August"
"needle.25NO.t4.7A","needle","7A","9th.October","t4","25NO","needle.25NO.t4.7A - 9th.October"
"needle.5NO.t1.12B","needle","12B","5th.June","t1","5NO","needle.5NO.t1.12B - 5th.June"
"needle.5NO.t2.12B","needle","12B","24th.June","t2","5NO","needle.5NO.t2.12B - 24th.June"
"needle.5NO.t3.12B","needle","12B","6th.August","t3","5NO","needle.5NO.t3.12B - 6th.August"
"needle.5NO.t4.12B","needle","12B","9th.October","t4","5NO","needle.5NO.t4.12B - 9th.October"
"needle.25NO.t1.13A","needle","13A","5th.June","t1","25NO","needle.25NO.t1.13A - 5th.June"
"needle.25NO.t2.13A","needle","13A","24th.June","t2","25NO","needle.25NO.t2.13A - 24th.June"
"needle.25NO.t3.13A","needle","13A","6th.August","t3","25NO","needle.25NO.t3.13A - 6th.August"
"needle.25NO.t4.13A","needle","13A","9th.October","t4","25NO","needle.25NO.t4.13A - 9th.October"
"needle.5NO.t1.16B","needle","16B","5th.June","t1","5NO","needle.5NO.t1.16B - 5th.June"
"needle.5NO.t2.16B","needle","16B","24th.June","t2","5NO","needle.5NO.t2.16B - 24th.June"
"needle.5NO.t3.16B","needle","16B","6th.August","t3","5NO","needle.5NO.t3.16B - 6th.August"
"needle.5NO.t4.16B","needle","16B","9th.October","t4","5NO","needle.5NO.t4.16B - 9th.October"
"water.none.t5.0","water","0","23rd.March","t6","none","water.none.t5.0 - 23rd.March"
"ecoli.none.t5.0","ecoli","0","26th.January","t5","none","ecoli.none.t5.0 - 26th.January"
"mock.none.t5.0","mock","0","26th.January","t5","none","mock.none.t5.0 - 26th.January"
