SciLifeID;species;sample;treatment.1;treatment;date;plot;plot.1
P1169_101;Spruce;Needles;N_0605;25_year;Early_June;1A;N1
P1169_102;Spruce;Needles;N_0605;25_year;Early_June;1A;N2
P1169_103;Spruce;Needles;N_0605;25_year;Early_June;1A;N3
P1169_104;Spruce;Needles;N_0624;25_year;Late_June;1A;N1
P1169_105;Spruce;Needles;N_0624;25_year;Late_June;1A;N2
P1169_106;Spruce;Needles;N_0624;25_year;Late_June;1A;N3
P1169_107;Spruce;Needles;N_0806;25_year;August;1A;N1
P1169_108;Spruce;Needles;N_0806;25_year;August;1A;N2
P1169_109;Spruce;Needles;N_0806;25_year;August;1A;N3
P1169_110;Spruce;Needles;N_1009;25_year;October;1A;N1
P1169_111;Spruce;Needles;N_1009;25_year;October;1A;N2
P1169_112;Spruce;Needles;N_1009;25_year;October;1A;N3
P1169_113;Spruce;Needles;I_0605;5_year;Early_June;3B;I1
P1169_114;Spruce;Needles;I_0605;5_year;Early_June;3B;I2
P1169_115;Spruce;Needles;I_0605;5_year;Early_June;3B;I3
P1169_116;Spruce;Needles;I_0624;5_year;Late_June;3B;I1
P1169_117;Spruce;Needles;I_0624;5_year;Late_June;3B;I2
P1169_118;Spruce;Needles;I_0624;5_year;Late_June;3B;I3
P1169_119;Spruce;Needles;I_0806;5_year;August;3B;I1
P1169_120;Spruce;Needles;I_0806;5_year;August;3B;I2
P1169_121;Spruce;Needles;I_0806;5_year;August;3B;I3
P1169_122;Spruce;Needles;I_1009;5_year;October;3B;I1
P1169_123;Spruce;Needles;I_1009;5_year;October;3B;I2
P1169_124;Spruce;Needles;I_1009;5_year;October;3B;I3
P1169_125;Spruce;Needles;C_0605;Control;Early_June;4A;C1
P1169_126;Spruce;Needles;C_0605;Control;Early_June;4A;C2
P1169_127;Spruce;Needles;C_0605;Control;Early_June;4A;C3
P1169_128;Spruce;Needles;C_0624;Control;Late_June;4A;C1
P1169_130;Spruce;Needles;C_0624;Control;Late_June;4A;C3
P1169_131;Spruce;Needles;C_0806;Control;August;4A;C1
P1169_132;Spruce;Needles;C_0806;Control;August;4A;C2
P1169_133;Spruce;Needles;C_0806;Control;August;4A;C3
P1169_134;Spruce;Needles;C_1009;Control;October;4A;C1
P1169_135;Spruce;Needles;C_1009;Control;October;4A;C2
P1169_136;Spruce;Needles;C_1009;Control;October;4A;C3
P1169_137;Spruce;Needles;C_0605;Control;Early_June;6A;C1
P1169_138;Spruce;Needles;C_0605;Control;Early_June;6A;C2
