SciLifeID;species;sample;treatment.1;treatment;date;plot;plot.1
P7151_301;Spruce;Roots;N_0605;25_year;Early_June;1A;N1
P7151_302;Spruce;Roots;N_0605;25_year;Early_June;1A;N2
P7151_303;Spruce;Roots;N_0605;25_year;Early_June;1A;N3
P7151_304;Spruce;Roots;N_0624;25_year;Late_June;1A;N1
P7151_305;Spruce;Roots;N_0624;25_year;Late_June;1A;N2
P7151_306;Spruce;Roots;N_0624;25_year;Late_June;1A;N3
P7151_307;Spruce;Roots;N_0806;25_year;August;1A;N1
P7151_308;Spruce;Roots;N_0806;25_year;August;1A;N2
P7151_309;Spruce;Roots;N_0806;25_year;August;1A;N3
P7151_310;Spruce;Roots;N_1009;25_year;October;1A;N1
P7151_311;Spruce;Roots;N_1009;25_year;October;1A;N2
P7151_312;Spruce;Roots;N_1009;25_year;October;1A;N3
P7151_313;Spruce;Roots;I_0605;5_year;Early_June;3B;I1
P7151_314;Spruce;Roots;I_0605;5_year;Early_June;3B;I2
P7151_315;Spruce;Roots;I_0605;5_year;Early_June;3B;I3
P7151_316;Spruce;Roots;I_0624;5_year;Late_June;3B;I1
P7151_317;Spruce;Roots;I_0624;5_year;Late_June;3B;I2
P7151_318;Spruce;Roots;I_0624;5_year;Late_June;3B;I3
P7151_319;Spruce;Roots;I_0806;5_year;August;3B;I1
P7151_320;Spruce;Roots;I_0806;5_year;August;3B;I2
P7151_321;Spruce;Roots;I_0806;5_year;August;3B;I3
P7151_322;Spruce;Roots;I_1009;5_year;October;3B;I1
P7151_323;Spruce;Roots;I_1009;5_year;October;3B;I2
P7151_324;Spruce;Roots;I_1009;5_year;October;3B;I3
P7151_325;Spruce;Roots;C_0605;Control;Early_June;4A;C1
P7151_326;Spruce;Roots;C_0605;Control;Early_June;4A;C2
P7151_327;Spruce;Roots;C_0605;Control;Early_June;4A;C3
P7151_328;Spruce;Roots;C_0624;Control;Late_June;4A;C1
P7151_329;Spruce;Roots;C_0624;Control;Late_June;4A;C2
P7151_330;Spruce;Roots;C_0624;Control;Late_June;4A;C3
P7151_331;Spruce;Roots;C_0806;Control;August;4A;C1
P7151_332;Spruce;Roots;C_0806;Control;August;4A;C2
P7151_333;Spruce;Roots;C_0806;Control;August;4A;C3
P7151_334;Spruce;Roots;C_1009;Control;October;4A;C1
P7151_335;Spruce;Roots;C_1009;Control;October;4A;C2
P7151_336;Spruce;Roots;C_1009;Control;October;4A;C3
P7151_337;Spruce;Roots;C_0605;Control;Early_June;6A;C1
P7151_338;Spruce;Roots;C_0605;Control;Early_June;6A;C2
P7151_339;Spruce;Roots;C_0605;Control;Early_June;6A;C3
P7151_340;Spruce;Roots;C_0624;Control;Late_June;6A;C1
P7151_341;Spruce;Roots;C_0624;Control;Late_June;6A;C2
P7151_342;Spruce;Roots;C_0624;Control;Late_June;6A;C3
P7151_343;Spruce;Roots;C_0806;Control;August;6A;C1
P7151_344;Spruce;Roots;C_0806;Control;August;6A;C2
P7151_345;Spruce;Roots;C_0806;Control;August;6A;C3
P7151_346;Spruce;Roots;C_1009;Control;October;6A;C1
P7151_347;Spruce;Roots;C_1009;Control;October;6A;C2
P7151_348;Spruce;Roots;C_1009;Control;October;6A;C3
P7151_349;Spruce;Roots;N_0605;25_year;Early_June;7A;N1
P7151_350;Spruce;Roots;N_0605;25_year;Early_June;7A;N2
P7151_351;Spruce;Roots;N_0605;25_year;Early_June;7A;N3
P7151_352;Spruce;Roots;N_0624;25_year;Late_June;7A;N1
P7151_353;Spruce;Roots;N_0624;25_year;Late_June;7A;N2
P7151_354;Spruce;Roots;N_0624;25_year;Late_June;7A;N3
P7151_355;Spruce;Roots;N_0806;25_year;August;7A;N1
P7151_356;Spruce;Roots;N_0806;25_year;August;7A;N2
